Restaurant Name,Original food Item
East Side Mario's,"Chicken Wings, Add On: Hot Sauce"
The Perfect Pita,Chipotle Hummus
Firehouse Subs,Turkey Bacon Ranch - Medium
Talley's,New Zealand Wild Hoki
YoCream,Eggnog
Tender Bison,Ground Bison
Wedderspoon,"Manuka Honey Plus, Elderberry with Watermelon Seedbutter"
Russo's New York Pizzeria,Chicken Cannelloni
YoCream,Toasted Marshmallow
Firehouse Subs,Cajun Chicken - Medium
Our Family,"Cookies, Sandwich Creme, Lemon"
Northern Chef,Sriracha Shrimp
Maninis,"Linguine, Lemon Thyme"
Vocelli Pizza,Chicken Caesar Salad - Side
Sadaf,Marble Chocolate Halva
Tasti D-Lite,"Dulce de Leche - Vanilla Soft Serve, 5 oz (Custom Blend)"
Ameci Pizza & Pasta,Large Chicken Ranch Pizza
Furr's Family Dining,Diced Jell-O
Nick-N-Willy's Pizza,"Roman Feta Pesto Pizza, Personal"
Bruster's Real Ice Cream,"Graham Canyon Ice Cream on a Cake Cone, Large"
Jamba,"Razzmatazz Smoothie, 28 fl. oz."
Baton Rouge Steakhouse & Bar,Louisiana Chicken Sandwich
Wild Oats Marketplace,Traditional Mozzarella Cheese
America's Taco Shop,"Al Pastor Burrito, Regular"
Country Kitchen,"Soup Mix, Creamy Wild Rice"
Sea Pak Shrimp Company,"Butterfly Shrimp, Oven Crunchy"
Planet Smoothie,"Berry Bada-Bing Smoothie, 16 oz"
241 Pizza,"Canadian Pizza, Medium Slice"
Charley's Philly Steaks,"Chicken Philly Cheesesteak, Regular"
Maizena,"Fortified Corn Starch, Chocolate"
Buddy's Bar-b-q,Pulled Chicken Dinner
Charley's Philly Steaks,"Baked Beans, Large"
Lifeway,"Sweet Kiss, Sweet Cheese Spread"
Cracker Barrel,"Cheese, Mozzarella"
Cracker Barrel,"Coffee Beans, Chocolate Covered"
The Hungry Hobo,1000 Island Dressing
Krispy Kreme,"Cappuccino with Skim Milk, 12 fl oz"
Cereality,"Strawberry French Toast, 2%, Regular"
A&W (Canada),Bacon Ranch Chicken Wrap
Earls,Dragon Roll
Back Yard Burgers,Backyard Salad with Blackened Chicken
Baskin Robbins,"Ice Cream Soda (With Vanilla Ice Cream), Large"
DiGiorno,Pizzeria! Supreme Speciale Pizza
Coffee Culture,Plain Light Cream Cheese
Tom's,Crispy Ridges Potato Chips
Bimbo,Bimbunuelos Crispy Wheels
Maizena,"Fortified Corn Starch, Vanilla Flavor"
Taco Bell Canada,Doritos Locos Taco
American Flatbread Grocery,Ionian Awakening Pizza
Mrs. Friday's,Cod Fillet
Sakata,Seaweed Rice Crackers
Baton Rouge Steakhouse & Bar,Top Sirloin 7 oz
Coffee Culture,Classic Clubhouse
Christie's,Swiss Cheese Crackers
Baton Rouge Steakhouse & Bar,BBQ Pork Back Ribs and Chicken
Frullati Cafe & Bakery,"Pineapple Peach Smoothie, Large"
Green Beans Coffee,"Italian Soda, 32 oz"
Shaner's,Grilled Chicken Breast Strips
A&W (Canada),Spicy Habanero Chicken Burger
Cereality,Cinnamon
Portillo's,Chicken Siciliano
De Dutch Pannekoek House,"Brie, Sliced Apple & Walnut on Sour Dough"
The Pickle Barrel,P.B. Original Jumbo Club House Sandwich
Christie's,Vegetable Thins Crackers
Tyson,Chicken Leg Quarters
Green Beans Coffee,"Spiced Apple Cider, 20 oz"
Nick-N-Willy's Pizza,"Fresh Jalapeno Burn Pizza with Chicken, Large"
Krispy Kreme,"Iced Hazelnut Latte with 2% Milk, 12 fl oz"
Maizena,Corn Starch
Cook's,"Milk, 2% Partly Skimmed"
Safeway Select,Oatmeal Raisin Cookies
Blue Dragon,"Curry Paste, Thai Green"
America's Taco Shop,Carne Asada Salad
Sadaf,Breaded Beef Potato Patties
Fanny's,Meat Sauce for Italian Pasta
Good Times Burgers & Frozen Custard,"Dr. Pepper, Small"
Curves,"Snack Bar, Oats & Chocolate Berry Bliss"
Del Monte,"Fruit Burst Squeezers, Mixed Berry Flavor"
241 Pizza,"Canadian Supreme Plant Based Pizza, Large Slice"
Crazy Bowls & Wraps,Santa Fe Salad
Coffee Time,Chicken with Wild Rice Soup
Bruster's Real Ice Cream,"Peanut Butter Cup with Reese's Ice Cream on a Waffle Cone, Large"
Happy Joe's,"Nacho Joe Original Crust Pizza, 12 inch"
Drew's,"Organic Dressing, Blueberry & Pomegranate"
Buddy's Bar-b-q,"Lemonade, Small"
Christie's,Bloody Mary Mix
Horizon,Peanut Butter Sandwich Crackers
Lifeway,Cinnamon Apple with Oats
Ameci Pizza & Pasta,Jumbo Pepperoni Pizza
TacoTime,"Limeade, Blue Raspberry - 21 oz (Select Stores Only)"
Jack Astor's Bar & Grill,"Add-On, Vanilla Ice Cream"
The Pickle Barrel,Super Sesame Shrimp Bowl
Furr's Family Dining,Oven-Roasted Turkey Breast
Fresh Gourmet,Dried Cranberries & Glazed Walnuts
Magic Wok,Mongolian Chicken
Triple O's,Bacon Cheddar Burger
Purebread Deli,Southwest Corn Chowder
Duck Donuts,"White Chocolate Mocha, Regular"
Nick-N-Willy's Pizza,"Aegean Pizza, Large"
Mauna Loa,"Macadamias, Mountains Nuts Covered In Milk Chocolate"
Harris Teeter,Extra Sharp Cheddar Cheese
The Hungry Hobo,Mayonnaise
Happy Joe's,"Green Pepper Original Crust Pizza, 15 inch"
Magic Wok,Sweet & Sour Chicken
Furr's Family Dining,Baked Alaskan White Fish
Baton Rouge Steakhouse & Bar,Hot Cinnamon Apples
Frullati Cafe & Bakery,Avocado
Baskin Robbins,"French Vanilla Ice Cream, 2.5 oz Scoop"
Roy Rogers Restaurants,"Coffee, 16 oz"
Horizon,"Sticks, Mozzarella String Cheese"
Emeril,Creme Brulee
Lady Nail,Pumpkin Seeds
Marie Callender's,"Soup, Chicken Pot Pie Style"
Boneheads,Greek Hot Chicken Salad
The Habit Burger Grill,Black Tea
The Pickle Barrel,Chicken Milanese
Mike's Restaurants,Pepperoni 9-Inch Thin Crust Pizza
Zapata,Dried Beef
Perkins Restaurant And Bakery,Fried Pickles
Cookwell & Co,Gumbo
Whitey's Ice Cream Grocery,Chocolate Chip Ice Cream
La Boucherie,Pork Tenderloin
Golden Spoon Frozen Yogurt,Rootbeer Float Frozen Yogurt
241 Pizza,"Hawaiian Pizza, Small Slice"
Frullati Cafe & Bakery,"Extreme Oreo Smoothie, Small"
Wienerschnitzel,"Old Fashioned Sundae, Strawberry"
De Dutch Pannekoek House,"Omelette, Sweet Apple with Salad"
Roy Rogers Restaurants,Mashed Potatoes & Gravy
American Flatbread Grocery,Tomato Sauce & Three Cheese
Tropical Smoothie Cafe,Hummus Veggie Bowl
Planet Smoothie,"Plain Jane Smoothie, Kids"
Northern Chef,"Shrimp, Lightly Coated with Cocktail Sauce"
Tyson,"Chicken, Breaded, Uncooked"
Golden Spoon Frozen Yogurt,Pomegranate Blueberry Frozen Yogurt
Buddy's Bar-b-q,Hot Fudge Sundae
Firehouse Subs,Boxed Lunch - Veggie
Russo's New York Pizzeria,Italian Deli Sandwich on French Bread
Capri Sun,Super V Fruit & Vegetable Juice Drink Fruit Punch
Boneheads,Med Skinless Piri
Baton Rouge Steakhouse & Bar,Key Lime Pie
Taco Bueno,Tex-Mex Platters Setup Refried Beans 3oz. with chili and cheese
Merci,Chocolates
Wild Oats Marketplace Organic,"Instant Oatmeal, Apples & Cinnamon"
Planet Smoothie,"Strawberry Shortcake Smoothie, Kids"
Green Beans Coffee,"Cappuccino, 16 oz"
Yoshinoya,White Rice
Roy Rogers Restaurants,"Mashed Potatoes & Gravy, Large"
Tropical Smoothie Cafe,"Organic Peach Tea, 16.9 fl oz"
Nalley Fresh,Healthy Salad
Golden Spoon Frozen Yogurt,Classic Coffee Frozen Yogurt
Gail Ambrosius,"Dark Chocolates, Handmade"
Mike's Restaurants,Blackberry Jam
TacoTime,"Churro, Bavarian Cream"
KFD,"Arepas Paisas, Extra Grande White"
Chickapea,"Pasta, Chickpeas & Lentils"
Wg Grinders,Chicken Cordon Blue Grinder
Drew's,"Dressing & Quick Marinade, Chipotle Ranch"
Boneheads,Lemon-Herb Boneless Breast Chicken
Northern Chef,"Mahi Mahi, Skinless"
Dare,"Popped Crisps, Barbecue"
YoCream,Dulce De Leche (Caramel)
East Side Mario's,Mini Mario's Mini Sliders - Burger
Ameci Pizza & Pasta,Ravioli Cheese
Taco Bell Canada,Steak Soft Taco
Yoshinoya,Grilled Tilapia with Rice & Coleslaw Topped with Lemon Butter Sauce
Yellow Tail,Pinot Grigio
Portillo's,Side of Gravy
American Flatbread Grocery,"Revolution Flatbread, with Homemade Tomato Sauce, Caramelized Onions, Mushrooms & Cheeses"
Tim Horton's,"Apple Cider, Medium"
Benny's,Straws
Salada,"Green Tea, Energy Boost Blueberry Flavored Active Blend"
Yoshinoya,Mug Rootbeer
Cafe Zupas,"Sandwiches, Chipotle Steak Club, Wheat"
Ameci Pizza & Pasta,Ameci Mozzarella Sticks
Green Beans Coffee,"Caramel Latte, 16 oz"
Baton Rouge Steakhouse & Bar,Amarillo Chicken
Jamba,"Strawberry Surf Rider Smoothie, 16 fl. oz."
Ninety Nine Restaurants,99 House Salad (No Dressing)
Russo's New York Pizzeria,"Artichokes Topping, Medium"
Ninety Nine Restaurants,99 Ranch Dressing Add On
Concord Foods,"Smoothie Mix, Banana"
Happy Joe's,"Vegetarian Original Crust Pizza, 12 inch"
Tropical Smoothie Cafe,Supergreen Caesar Chicken Bowl
Tropical Smoothie Cafe,Half Turkey Bacon Ranch Pressed Sandwich
Boneheads,Tilapia Fish Nuggets
Safeway Select,"Bread, Sourdough, Baguette, San Francisco Style"
Bimbo,"Pound Cakes, Mini, With Chocolate Flavored Chips"
White Spot Restaurants,Kids Spaghetti & Meatball
Firehouse Subs,Sweet & Spicy Meatball - Small
Duchess Shoppe,20 oz Gold Peak Regular Unsweetened
Hoss's Family Steak And Sea House,Filet Mignon Steak 7 oz.
Russo's New York Pizzeria,Bruschetta
Sally's,Honey Graham Bliss
Burrito Boyz,"Large Whole Wheat Burrito, Calamari Breaded"
Tom's,"Potato Chips, Bar-B-Q"
Thundercloud Subs,"California Club Sub, Small"
Thundercloud Subs,"Texas Tuna Sub, Large"
Wg Grinders,Turkey Reuben Grinder with Cheese & Dressing
Wg Grinders,Buffalo Chicken Grinder
Boneheads,Classic Med Chicken Caesar Salad
Cold Stone Creamery,"Strawberry Cake Batter Ice Cream, Gotta Have It"
Magic Wok,General Tso Chicken
Charley's Philly Steaks,"Chicken Teriyaki Cheesesteak, Small"
Drew's,"Dressing, Raspberry"
Earls,Yukon Gold Mashed Potatoes
Purebread Deli,"Mountain Dew, Large"
Krispy Kreme,"Iced Skinny Vanilla Latte with 2% Milk, 16 fl oz"
Furr's Family Dining,Creamy Macaroni and Cheese
Moxie's Classic Grill,Buttermilk Ranch (dipping sauce)
Safeway Select,"Pasta Sauce, Tomato Basil"
Tai Pei,Chicken Fried Rice
Duchess Shoppe,Duchess Sub
Mimi's Cafe,Kids Kraft Mac and Cheese with Long Grain Rice
Our Family,"Sandwich Creme Cookies, Duplex"
241 Pizza,"Canadian Supreme Plant Based Pizza, Small Slice"
Buddy's Bar-b-q,Smokey Dawg Sandwich
Harris Teeter,"Artisan Bread, Cinnamon Raisin"
Duchess Shoppe,12 oz Wild Berry Smoothie
Taco Bueno,"Beverages, Mist Twst Lemon Lime 30oz"
White Spot Restaurants,Chicken & Mushroom Fettuccine Alfredo
Yogli Mogli,Luscious Lemon
Gateway,Robust Rye Bread
Hoss's Family Steak And Sea House,Heinz Worcestershire Sauce
Our Family,"Waffles, Buttermilk"
KA-ME,Oyster Sauce
Mike's Restaurants,Seafood 9-Inch Traditional Pizza
Duchess Shoppe,"Sausage, Egg & American Cheese Muffin"
World of Beer,Black and Tan Onion Rings
Tasti D-Lite,"Tapioca Pudding - Vanilla Soft Serve, 5 oz (Custom Blend)"
Harris Teeter,Instant Boil-In-Bag White Rice
Jack Astor's Bar & Grill,New & Improved Chicken Parmigiana
Lit Pizza,"Here Today, Gone to Maui (1 of 6 Slices)"
Golden Spoon Frozen Yogurt,Pecans Pralines Frozen Yogurt
KA-ME,"Ginger Slices, Crystallized"
Wasa,"Crackerbread, Crisp'n Light"
Cracker Barrel,Extra Sharp Cheddar Cheese Sticks
American Flatbread Grocery,"Flatbread, Cheese Trio & Tomato Sauce"
The Pickle Barrel,New York Striploin Steak & Eggs
The Pickle Barrel,Brownie Ga-Ga-Galore
The Pickle Barrel,English Style Fish & Chips
Golden Spoon Frozen Yogurt,Milk Chocolate Frozen Yogurt
Vocelli Pizza,Chicken Parmesan Pasta with Linguini - Family
Koyo,"Organic Rice Crackers, Sea Salt"
World of Beer,"WOB Chicken Wings, 20"
Vocelli Pizza,Meatball Sub on Italian
Furr's Family Dining,Whole-Grain Wheat Rolls
Nick-N-Willy's Pizza,"Margherita Pizza, Medium"
Bruster's Real Ice Cream,"Coconut Cream Pie Ice Cream on a Sugar Cone, Small"
Protein House,"Cookies and Cream Iced Coffee, 16 oz with Milk Choice Soy Milk"
Pretzelmaker,Pizza Sauce
Yogli Mogli,Georgia Peach
Sea Pak Shrimp Company,"Shrimp, Butterfly"
Whitey's Ice Cream Grocery,Chocolate Ice Cream
Earls,Peach And Blackberry Cobbler
Kitchens Seafood,Shrimp Cocktail
Taco Bell Canada,Side of Pico de Gallo
A&W (Canada),"Iced Tea, 12 oz"
Frullati Cafe & Bakery,Turkey
Magic Wok,Curry Chicken
Jayone,"Roasted Seaweed, Seasoned with Sesame Oil"
Coffee Time,Cream of Mushroom Soup
Magic Wok,"Lo Mein, Chicken"
Papa Murphy's,Bacon Cheeseburger - Family Slice
Roti,Salmon Kabob
Papa Murphy's,Club Salad
Bruster's Real Ice Cream,"Chocolate Cherry Chunk Ice Cream in a Dish, Large"
American Flatbread Grocery,"Flatbread Pizza, Cheese & Herb"
Just FreshDirect,Organic Whole Milk
Familia,"Swiss Granola, Chocolate & Amaranth"
Port of Subs,Classic Sub #9 - 5 inch Small
Charley's Philly Steaks,"Jalapenos, Small Cheesesteak Topping"
Coffee Culture,"Caramel Latte, Small"
Fresh Gourmet,"Sliced Almonds, Ranch"
Christie's,Thinsations Yogurt Covered Pretzels
Moxie's Classic Grill,Slow-roasted Back Ribs (half rack)
Boneheads,Cocktail Sauce
Kirkwood,Parmesan Chicken Tenders
Krispy Kreme,"Hazelnut Latte with Skim Milk, 12 fl oz"
American Flatbread Grocery,Basil Pesto & Feta
YoCream,Watermelon
Lion's Choice,Original Ham Sandwich on Wheat
White Spot Restaurants,The White Spot Club Sandwich
The Habit Burger Grill,BBQ Bacon Charburger on Seeded Bun
La Boulange,"Cookie, Flourless Chocolate"
America's Taco Shop,Carne Asada Steak
Vocelli Pizza,Breadsticks - Party Tray
Lion's Choice,BBQ Sauce
Nick-N-Willy's Pizza,"Margherita Pizza, Personal"
Manini's,Gluten Free Mac & Cheese
Wayback Burgers,Kids Oreo Mud Pie Milkshake
The Pickle Barrel,Harvest Bowl Bowl
Nick-N-Willy's Pizza,"Little Nell's Chicken Bbq Pizza, Medium"
Tropical Smoothie Cafe,Cuban Pressed Sandwich
241 Pizza,"Bacon Cheeseburger Pizza, Large Slice"
Crazy Bowls & Wraps,Multigrain Quinoa Salad
Tropical Smoothie Cafe,Half Ultimate Club Pressed Sandwich
Tasti D-Lite,"Cherry Cake - Vanilla Soft Serve, 5 oz (Gallon Recipe)"
Planet Smoothie,"Twig & Berries Smoothie, 16 oz"
Our Family,Green Peas
Pretzelmaker,"Limeade, Large"
Cold Stone Creamery,"Black Cherry Ice Cream, Gotta Have It"
Lion's Choice,"Original Roast Beef Sandwich, No Bun"
Sea Pak Shrimp Company,"Shrimp, Popcorn"
Wild Oats Marketplace,"Cereal, Oats & Grains Apple & Honey"
Green Beans Coffee,"Spiced Chai Latte, 24 oz"
World of Beer,House Salad with Grilled Flat Iron Steak
Chick-fil-A,"Mango Passion Tea Lemonade, Gallon (Catering)"
Portillo's,Lite Ranch Dressing
Cafe Zupas,"Sandwiches, Cuban Pork, Wheat"
Jayone,Premium Seaweed Winter Harvest
Tabatchnick,"Split Pea Soup, Organic"
Planet Wings,Philly Steak
Golden Spoon Frozen Yogurt,Raspberry Frozen Yogurt
Nalley Fresh,Californian Salad
Tasti D-Lite,Whipped Topping Topping
Baskin Robbins,"Energy Freeze (With Monster Energy And Wild 'N Reckless Sherbet), Large"
The Hungry Hobo,French Bread
Drews,Roasted Garlic & Peppercorn Dressing & Quick Marinade
Perkins Restaurant And Bakery,"Dinner Sides, Tomato Basil Soup"
Roy Rogers Restaurants,"Roast Beef Sliders, 12 Piece"
Burrito Boyz,"Small White Burrito, Shrimp"
Regal Springs,"Fillets, Tilapia"
TacoTime,BBQ Sauce
Lion's Choice,"Kid's Roast Beef Sandwich, No Butter"
Triple O's,"Chicken Bacon Cheddar Sandwich, without Sauce"
Tropical Smoothie Cafe,Miss Vickie's Smokehouse BBQ
Pampa,Lightly Smoked Herring Fillets in Oil
Tai Pei,Spicy Chili Chicken Dumplings
Furr's Family Dining,Caesar Salad
Green Beans Coffee,"Kids Spiced Apple Cider, 12 oz"
Blimpie,"Fanta Grape, 28 oz"
Blimpie,"Fanta Strawberry, 21 oz"
Silver Mine Subs,Provolone Cheese for Large Sub
Kojo,Ginger Teriyaki Plant-based Jerky
Russo's New York Pizzeria,"Pineapple Tidbits Topping, Large"
Back Yard Burgers,"Sierra Mist, Regular, 20 oz."
Tom and Chee,Basil
Chickpea,Grape Leaves
Mimi's Cafe,Hickory Smoked Ham and Swiss Crepes with Roasted Potatoes
Natural Sea,Chopped Clams
A&W (Canada),"Lemonade, 12 oz"
Drew's,Rosemary Balsamic Dressing & Marinade
Kaizen,"Whey Isolate, Vanilla Ice Cream Flavor"
Bimbo,"Cinnamon Rolls, With Raisins"
World of Beer,Boneless Wings with Blue Cheese Dressing
East Side Mario's,The Club Wrap With Crispy Chicken
Protein House,Super Bird Omelette
Golden Spoon Frozen Yogurt,New York Cheesecake Frozen Yogurt
Chickpea,4 Pieces Quinoa Falafel
Angy's,Tortellini
Mcmenamins,Maria's Masterpiece with Oven-Roasted Turkey
Good Times Burgers & Frozen Custard,"Sierra Mist, Small"
Boneheads,House Portabella Salad
Roti,"Lentil Soup, Bowl"
Pepperjax Grill,Chicken
Buddy's Bar-b-q,"Sweet Iced Tea, Large"
Nalley Fresh,Asian Salad
Firehouse Subs,Roast Beef - Medium
Green Beans Coffee,"Mocha Frappe, 32 oz"
A&W (Canada),"Potato Salad, Regular"
Moxie's Classic Grill,Classic Buttermilk Pancakes
Tropical Smoothie Cafe,"Brewed Unsweet Tea, 16 fl oz"
Nick-N-Willy's Pizza,"Garlic Chicken with Smoked Bacon Pizza, Large"
Pretzelmaker,"Salted Pretzel Bites, Regular"
The Pickle Barrel,Bombay Butter Chicken Bowl
Emeril's,Chicken & BBQ Sauce
Hoss's Family Steak And Sea House,Pretzel Nuggets
Coleen's,"Cheese Infused Artisan Breadsticks, Three Cheese"
Roti,Baklava
Cereality,"S'More Than You Know, Skim, Small"
Chick-fil-A,"Freshly-Brewed Iced Tea Unsweetened, Large"
Roy Rogers Restaurants,"Coffee, 20 oz"
Planet Wings,Chocolate Chip Cookie
Planet Wings,Buffalo Chicken Sandwich
Cracker Barrel,"Macaroni & Cheese Dinner, Sharp White Cheddar"
Gandy's,"Dip, Jalapeno"
Taco Bueno,Mug Root Beer 12oz
Molina,Mexican Vanilla Blend
Just Fresh,Cranberry Orange Muffin
Moxie's Classic Grill,Bruschetta
Tasti D-Lite,"Angel Food Cake - Vanilla Soft Serve, 10 oz (Gallon Recipe)"
Green Beans Coffee,"Protein Burst Smoothie, 16 oz"
Weight Watchers,"Ice Cream Candy Bar, Peanut Butter Caramel"
Duck Donuts,Chocolate Ice Cream
Dare,"Soft Cookies Bear Paws, Molasses"
Charley's Philly Steaks,Smokin Habanero Boneless Chicken
Horizon,"Organic Lowfat Milk, 1%"
La Boucherie,Crawfish Pie
Portlock,Wild Smoked Pacific Salmon
Concord Foods,"Guacamole Mix, Classic Spicy"
Wienerschnitzel,"Thousand Island Chili Cheese Fries, Large"
Triple O's,"Sweet Potato Fries, Side of Chipotle Mayo"
Perkins Restaurant And Bakery,"55 Plus Build Your Own Omelet, Fresh Spinach"
Duchess Shoppe,Football Shaped Yeast Donut
Baskin Robbins,"World Class Chocolate Milkshake, Small"
The Habit Burger Grill,Crumbled Blue Cheese
Hokan,"Rice Sticks, Rice Vermicelli Noodles"
Nalley Fresh,Caesar Wrap
Firehouse Subs,Hero - Small
The Habit Burger Grill,"Chicken Caesar Salad, with Dressing"
America's Taco Shop,"Bean and Cheese Burrito, Regular"
Emily Kate's,Apple Streusel Muffins
Firehouse Subs,Catering Salad Chopped
Just Fresh,Fresh Start Wrap
Wayback Burgers,Blue Cheese Dipping Sauce
Horizon,"Classic Mac, Pasta Shells & White Cheddar Cheese"
De Dutch Pannekoek House,"Omelette, Smoked Salmon"
Portillo's,Chicken Parmesan With Meat Sauce
Cafe Zupas,"Salad Toppings, Edamame"
Harris Teeter,"Chicken Broth, Fat Free, Reduced Sodium"
Tai Pei,Sweet & Sour Chicken
High Liner,"Pan-Sear Strips, Basa"
Back Yard Burgers,"Wild Cherry Pepsi, Regular, 20 oz."
Silver Mine Subs,Avocado for Medium Sub
White Mountain,"Bulgarian Yogurt, Probiotic"
Blimpie,"Lipton Brewed Iced Tea Sweetened, 12 oz"
Mcmenamins,Bacon Cheeseburger
World of Beer,Sweet Cream Pancakes with Add Fruit Topping
World of Beer,Boneless Wings with Buffalo Hot Sauce
Duchess Shoppe,20 oz Dr Pepper
A&W (Canada),"Coca-Cola, 20 oz"
Northern Chef,Tilapia Fillets
Drews,"Dressing, Thai Sesame Lime"
Golden Spoon Frozen Yogurt,Cookies & Cream Frozen Yogurt
Mauna Loa,Chocolate Dipped Macadamia Shortbread Cookies
Cereality,"Devil Made Me Do It, Skim, Small"
Blimpie,"Mtn Dew, 12 oz"
Wasa,Hearty Crispbread
Wow Bao,Spicy Bao Kung Pao Chicken
Our Family,"Cheese, Mozzarella"
Yogli Mogli,Egg Nog
Cafe Zupas,Honest Tea Pomegranate Blue
World of Beer,Spring Greens and Kale Salad with IPA Glazed Salmon
Buddy's Bar-b-q,"Ham Sandwich, Large"
Yogli Mogli,Wild Berry Tart
Emerils,"Pasta Sauce, Vodka Sauce"
Baskin Robbins,"Blackberry Hibiscus, 4 oz Scoop"
Concord Foods,Caramel Apple Wrap
YoCream,Orange Splash
Bruster's Real Ice Cream,"Strawberry Ice Cream on a Cake Cone, Small"
Kenny's,"Seasoning, Original"
Chickpea,Cranberries
The Habit Burger Grill,"Super Food Salad, with Dressing"
Protein House,The General Bowl with Brown Rice
Back Yard Burgers,"Shake, Chocolate"
Moxie's Classic Grill,Chicken Enchiladas
Uncle Ben's,Brown Basmati
Burrito Boyz,Three Ground Soy Tacos
Duchess Shoppe,32 oz Pepsi Wild Cherry
De Dutch Pannekoek House,"Avocado, Pear, Walnut & Feta Salad"
Concord Foods,"Cream of Broccoli Soup, Original"
Cook's,2% Reduced-Fat Milk
Merzi,Sweetcorn
Pinkberry,"Cookies n Cream Reduced-Fat Milk Ice Cream, Large"
Cereality,"Pb&B Crunch, Skim, Regular"
Tom's,"Potato Chips, Hot Stuff"
Wayback Burgers,"Irish Nachos, Full"
Wienerschnitzel,"Tapatio Chili Cheese Fries, Regular"
Russo's New York Pizzeria,Chicken Portobello Sandwich on Flatbread
Del Monte,"California Sliced Peaches, 100% Juice"
Charley's Philly Steaks,"Chicken Buffalo Cheesesteak, Regular"
Jack Astor's Bar & Grill,"Add-On, Truffle Fries"
Ameci Pizza & Pasta,Spaghetti Meat Sauce
Boneheads,EX-Hot Piri
Lion's Choice,Sugar Cookie
Yogli Mogli,Peppermint Stick
Protein House,"Peppermint Mocha Coffee, 16 oz with Milk Choice Soy Milk"
Mimi's Cafe,Kids Soup and Salad Combination with Ranch Dressing
Furr's Family Dining,Favorite Chopped Steak
Capri Sun,Fruit Refreshers Awesomely Apple Drinks
Roti,"Lentil Soup, Cup"
Chick-fil-A,"Kid's Chick-N-Strips Meal, 1 Count"
Pepperjax Grill,"Burrito, Chicken"
DiGiorno,Chicken Parmigiana Pizza
Sydney's,Ginger Snap Cookie
Quaker Steak & Lube Grocery,Arizona Ranch
Planet Wings,Chocolate Chip Cookie with M&M's
Blimpie,"Mtn Dew Game Fuel Citrus Cherry, 28 oz"
White Spot Restaurants,Brunch Burger
Cafe Zupas,Barq's Root Beer
Lit Pizza,Buffalo Chicken (1 of 6 Slices)
The Pickle Barrel,Add Surf's Up to Steak
A&W (Canada),"A&W Root Beer, 20 oz"
World of Beer,Sweet Cream Waffles
The Hungry Hobo,Rye Bread
America's Taco Shop,Al Pastor Salad
Dare,"Cookies, Chocolate Creme"
Planet Wings,Mandarin Orange Sesame Ginger Dressing
Roy Rogers Restaurants,Apple Feta Spinach Salad
Golden Spoon Frozen Yogurt,Graham Cracker Frozen Yogurt
Hoss's Family Steak And Sea House,Parmesan Peppercorn Dressing
World of Beer,Cali Bowl with Blackened Steak
Mimi's Cafe,Cafe au Lait with Hazelnut
Tyson,"Chicken Breasts, Boneless Skinless, with Rib Meat"
Hoss's Family Steak And Sea House,Sliced Mushrooms
Magic Wok,"Pad Thai, Shrimp"
Tim Horton's,"Flavored Mocha Latte, Medium"
Protein House,Boss Bowl with Brown Rice
Jayone,"Yuzu Tea, Honey"
Perkins Restaurant And Bakery,Southern Fried Chicken Biscuit Breakfast
The Habit Burger Grill,Hidden Valley Ranch Dressing
Purebread Deli,Yogurt Berry Parfait
The Habit Burger Grill,Golden Fried Chicken Sandwich on Plain Bun
DiGiorno,"Stromboli, Pepperoni"
Cafe Zupas,"Avocado Herb Dressing, Half"
World of Beer,Crispy Chicken Sliders
Stubb's,Cowboy Beans
Natural Sea,Premium Cod Fillets
Krispy Kreme,"Doughnuts, Glazed Blueberry Cake"
Buddy's Bar-b-q,Baked Beans
TacoTime,"Bacon and Egg Burrito, Regular"
Vocelli Pizza,Small Chicken Carbonara Pizza Slice
Green Beans Coffee,"Americano, 16 oz"
Green Beans Coffee,"Mango Smoothie, 16 oz"
Lion's Choice,"Vanilla Frozen Custard Dipped Cone, Regular"
The Habit Burger Grill,Veggie Burger on Wheat Bun (Vegan)
Wienerschnitzel,Chili Cheese Dog
Protein House,"Caramel Macchiato Coffee, 24 oz with Milk Choice Soy Milk"
Mike's Restaurants,Kids Brownies Skewer
Krispy Kreme,"Vanilla Latte with Skim Milk, 20 fl oz"
Blimpie,"Fanta Kiwi-Strawberry, 21 oz"
Natural Sea,Wild Premium Alaskan Red Sockeye Salmon
TacoTime,"Soft Taco, Pork"
The Habit Burger Grill,"Caesar Salad, with Dressing"
Pampa,"Peanut Butter, Creamy"
Blue Dragon,Pad Thai
Mi-Familia,Tortilla
Pepperjax Grill,Spicy Ranch Dressing
A&W (Canada),Beyond Meat Sausage & Egger
Shaner's,"Chicken Strips, Buffalo Style"
Del Monte,Fruit Cup
Fresh Gourmet,Organic Croutons Seasoned
Tijuana Flats,"Kids Taco Filling, Black Beans"
Pampa,Garlic in Brine
Wayback Burgers,Chocolate Banana Milkshake
Lifeway,"Kefir Cultured Milk, Plain Unsweetened"
Buddy's Bar-b-q,Chili
Family's Best,Cheddar & Sour Cream Potato Chips
Hokan,Water Chestnuts
Sadaf,Yellow Split Peas
Krispy Kreme,Cinnamon Bun Doughnut
Perkins Restaurant And Bakery,Kids' Silver Dollar Pancake Short-Stack
Sally's,"Cereal, Honey Puffed Delight"
A&W (Canada),Russet Thick-Cut Fries
Baskin Robbins,"Oreo Cookies 'N Cream Milkshake, Medium"
Good Times Burgers & Frozen Custard,"Lemonade, Large"
